No,Judul,Tahun,Rating,Rating_2,Durasi,Link
228,Network,1976,8.1 (171K),PG,2h 1m,https://www.imdb.com/title/tt0074958/?ref_=chttp_t_228
229,The Wizard of Oz,1939,8.1 (430K),G,1h 42m,https://www.imdb.com/title/tt0032138/?ref_=chttp_t_229
230,Stand by Me,1986,8.1 (444K),Not Rated,1h 29m,https://www.imdb.com/title/tt0092005/?ref_=chttp_t_230
231,The Incredibles,2004,8.0 (814K),Not Rated,1h 55m,https://www.imdb.com/title/tt0317705/?ref_=chttp_t_231
232,Hachi: A Dog's Tale,2009,8.1 (313K),G,1h 33m,https://www.imdb.com/title/tt1028532/?ref_=chttp_t_232
233,My Father and My Son,2005,8.2 (93K),R,1h 52m,https://www.imdb.com/title/tt0476735/?ref_=chttp_t_233
234,The Handmaiden,2016,8.1 (175K),Approved,2h 25m,https://www.imdb.com/title/tt4016934/?ref_=chttp_t_234
235,The Sound of Music,1965,8.1 (262K),Not Rated,2h 52m,https://www.imdb.com/title/tt0059742/?ref_=chttp_t_235
236,Into the Wild,2007,8.1 (660K),Approved,2h 28m,https://www.imdb.com/title/tt0758758/?ref_=chttp_t_236
237,To Be or Not to Be,1942,8.1 (43K),PG,1h 39m,https://www.imdb.com/title/tt0035446/?ref_=chttp_t_237
238,The Battle of Algiers,1966,8.1 (66K),R,2h 1m,https://www.imdb.com/title/tt0058946/?ref_=chttp_t_238
239,The Grapes of Wrath,1940,8.1 (100K),PG,2h 9m,https://www.imdb.com/title/tt0032551/?ref_=chttp_t_239
240,Groundhog Day,1993,8.0 (688K),Approved,1h 41m,https://www.imdb.com/title/tt0107048/?ref_=chttp_t_240
241,Amores Perros,2000,8.1 (254K),Approved,2h 34m,https://www.imdb.com/title/tt0245712/?ref_=chttp_t_241
242,The Iron Giant,1999,8.1 (229K),PG-13,1h 26m,https://www.imdb.com/title/tt0129167/?ref_=chttp_t_242
243,Rebecca,1940,8.1 (147K),Approved,2h 10m,https://www.imdb.com/title/tt0032976/?ref_=chttp_t_243
244,Cool Hand Luke,1967,8.1 (189K),Not Rated,2h 7m,https://www.imdb.com/title/tt0061512/?ref_=chttp_t_244
245,The Help,2011,8.1 (495K),PG-13,2h 26m,https://www.imdb.com/title/tt1454029/?ref_=chttp_t_245
246,It Happened One Night,1934,8.1 (113K),G,1h 45m,https://www.imdb.com/title/tt0025316/?ref_=chttp_t_246
247,Drishyam,2015,8.2 (95K),Not Rated,2h 43m,https://www.imdb.com/title/tt4430212/?ref_=chttp_t_247
248,Dances with Wolves,1990,8.0 (292K),PG-13,3h 1m,https://www.imdb.com/title/tt0099348/?ref_=chttp_t_248
249,Aladdin,1992,8.0 (470K),G,1h 30m,https://www.imdb.com/title/tt0103639/?ref_=chttp_t_249
250,Gangs of Wasseypur,2012,8.2 (104K),Not Rated,5h 21m,https://www.imdb.com/title/tt1954470/?ref_=chttp_t_250
