Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
56,tt8905948,2022-02-28,2022-02-28,,"David Makes Man","David Makes Man",https://www.imdb.com/title/tt8905948/,TV Series,7.5,43,2019,"Drama",658,2019-08-14,
57,tt4179452,2022-02-28,2022-02-28,,"The Last Kingdom","The Last Kingdom",https://www.imdb.com/title/tt4179452/,TV Series,8.5,60,2015,"Action, Drama, History",167201,2015-10-10,
58,tt2170593,2022-02-28,2022-02-28,,"St. Vincent","St. Vincent",https://www.imdb.com/title/tt2170593/,Movie,7.2,102,2014,"Comedy, Drama",108743,2014-10-24,"Theodore Melfi"
59,tt9359220,2022-02-28,2022-02-28,,"Young Wallander","Young Wallander",https://www.imdb.com/title/tt9359220/,TV Series,6.9,,2020,"Crime, Drama, Mystery, Thriller",13451,2020-09-03,
60,tt1037705,2022-02-28,2022-02-28,,"The Book of Eli","The Book of Eli",https://www.imdb.com/title/tt1037705/,Movie,6.8,118,2010,"Action, Adventure, Drama, Thriller",340683,2010-01-15,"Albert Hughes, Allen Hughes"
61,tt11994750,2022-02-28,2022-02-28,,"Made You Look: A True Story About Fake Art","Made You Look: A True Story About Fake Art",https://www.imdb.com/title/tt11994750/,Movie,7.0,94,2020,"Documentary, Crime",4900,2021-02-23,"Barry Avrich"
62,tt3673480,2022-03-01,2022-03-01,,"The Good Lord Bird","The Good Lord Bird",https://www.imdb.com/title/tt3673480/,TV Mini Series,7.6,48,2020,"Comedy, Drama, War, Western",7452,2020-10-04,
63,tt6704972,2022-03-01,2022-03-01,,"The Underground Railroad","The Underground Railroad",https://www.imdb.com/title/tt6704972/,TV Mini Series,7.4,59,2021,"Drama, Fantasy, History, War",8521,2021-05-14,
64,tt13651632,2022-03-01,2022-03-01,,"Night Stalker: The Hunt for a Serial Killer","Night Stalker: The Hunt for a Serial Killer",https://www.imdb.com/title/tt13651632/,TV Mini Series,7.5,47,2021,"Documentary, Crime, Mystery",30571,2021-01-13,
65,tt7945720,2022-03-01,2022-03-01,,"Dirty John","Dirty John",https://www.imdb.com/title/tt7945720/,TV Series,7.3,44,2018,"Crime, Drama",24516,2018-11-25,
66,tt5290382,2022-03-01,2022-03-01,,"Mindhunter","Mindhunter",https://www.imdb.com/title/tt5290382/,TV Series,8.6,60,2017,"Crime, Drama, Mystery, Thriller",339543,2017-10-13,
67,tt7826376,2022-03-02,2022-03-02,,"Upload","Upload",https://www.imdb.com/title/tt7826376/,TV Series,7.8,30,2020,"Comedy, Mystery, Sci-Fi",80764,2020-05-01,
68,tt8806524,2022-03-02,2022-03-02,,"Star Trek: Picard","Star Trek: Picard",https://www.imdb.com/title/tt8806524/,TV Series,7.5,46,2020,"Action, Adventure, Drama, Sci-Fi",95254,2020-01-23,
69,tt4288182,2022-03-02,2022-03-02,,"Atlanta","Atlanta",https://www.imdb.com/title/tt4288182/,TV Series,8.6,30,2016,"Comedy, Drama, Music",88833,2016-09-06,
70,tt4574334,2022-03-02,2022-03-02,,"Stranger Things","Stranger Things",https://www.imdb.com/title/tt4574334/,TV Series,8.7,60,2016,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",1348065,2016-07-15,
71,tt0111161,2022-03-02,2022-03-02,,"The Shawshank Redemption","The Shawshank Redemption",https://www.imdb.com/title/tt0111161/,Movie,9.3,142,1994,"Drama",2904222,1994-10-14,"Frank Darabont"
72,tt4181172,2022-03-02,2022-03-02,,"Shooter","Shooter",https://www.imdb.com/title/tt4181172/,TV Series,7.5,60,2016,"Action, Drama",42347,2016-11-15,
73,tt1830379,2022-03-02,2022-03-02,,"Top Boy","Top Boy",https://www.imdb.com/title/tt1830379/,TV Series,8.4,60,2011,"Crime, Drama, Thriller",40345,2011-10-31,
74,tt0388835,2022-03-03,2022-03-03,,"Chisholm '72: Unbought & Unbossed","Chisholm '72: Unbought & Unbossed",https://www.imdb.com/title/tt0388835/,Movie,7.3,76,2004,"Documentary",325,2004-01-18,"Shola Lynch"
75,tt1216487,2022-03-03,2022-03-03,,"The Girl Who Played with Fire","Flickan som lekte med elden",https://www.imdb.com/title/tt1216487/,Movie,7.1,129,2009,"Action, Crime, Drama, Mystery, Thriller",98646,2010-08-27,"Daniel Alfredson"
76,tt18082212,2022-03-07,2022-03-07,,"The Andy Warhol Diaries","The Andy Warhol Diaries",https://www.imdb.com/title/tt18082212/,TV Mini Series,7.7,66,2022,"Documentary, Biography",2726,2022-03-09,
77,tt11092142,2022-03-07,2022-03-07,,"Human Resources","Human Resources",https://www.imdb.com/title/tt11092142/,TV Series,7.1,30,2022,"Animation, Comedy, Romance",10624,2022-03-18,
78,tt12971802,2022-03-07,2022-03-07,,"Lucy and Desi","Lucy and Desi",https://www.imdb.com/title/tt12971802/,Movie,7.7,103,2022,"Documentary, Biography, Comedy, Drama, History",3044,2022-03-04,"Amy Poehler"
79,tt3108894,2022-03-07,2022-03-07,,"The Tender Bar","The Tender Bar",https://www.imdb.com/title/tt3108894/,Movie,6.7,106,2021,"Biography, Drama",34079,2022-01-07,"George Clooney"
80,tt1706593,2022-03-07,2022-03-07,,"Chronicle","Chronicle",https://www.imdb.com/title/tt1706593/,Movie,7.0,84,2012,"Action, Drama, Sci-Fi, Thriller",265393,2012-02-03,"Josh Trank"
81,tt12789558,2022-03-07,2022-03-07,,"Belfast","Belfast",https://www.imdb.com/title/tt12789558/,Movie,7.2,98,2021,"Biography, Drama, Romance",93278,2021-11-12,"Kenneth Branagh"
82,tt2180339,2022-03-08,2022-03-08,,"Deep Water","Deep Water",https://www.imdb.com/title/tt2180339/,Movie,5.5,115,2022,"Crime, Drama, Mystery, Thriller",58251,2022-03-18,"Adrian Lyne"
